"","teamname","MINS","FG","FGA","FG3","FG3A","FT","FTA","PTS","OREB","DREB","AST","TO","STL","BLK","FLS","opp_FG","opp_FGA","opp_3FG","opp_3FGA","opp_FT","opp_FTA","opp_PTS","opp_OREB","opp_DREB","opp_AST","opp_TO","opp_STL","opp_BLK","opp_FLS"
"1","A&M-Corpus Chris",6477,862,1835,174,526,495,689,2393,324,750,424,429,296,118,636,771,1733,246,710,491,719,2279,331,766,418,523,213,91,656
"2","Abilene Christian",4851,611,1333,177,477,298,464,1697,189,572,340,362,175,69,554,621,1342,177,490,397,549,1816,266,626,340,370,151,79,431
"3","Air Force",6275,751,1755,246,678,470,656,2218,293,783,449,387,183,56,555,814,1768,283,828,413,577,2344,255,813,491,378,195,108,638
"4","Akron",7000,912,1976,352,958,501,736,2677,345,863,497,410,192,111,643,899,2002,246,669,465,659,2509,334,829,407,399,206,71,658
"5","Alabama",6600,809,1910,225,710,487,746,2330,418,908,390,474,200,141,629,748,1760,209,627,495,688,2200,329,808,325,460,215,100,665
"6","Alabama A&M",5601,628,1477,125,457,409,614,1794,299,634,330,384,103,52,492,782,1736,214,590,397,536,2255,362,716,423,272,204,111,533
"7","Alabama St.",5826,693,1780,191,649,390,568,1967,417,735,284,467,146,90,613,774,1640,190,551,499,735,2237,342,790,385,359,197,91,517
"8","Albany (NY)",6801,869,1860,187,504,474,622,2399,354,834,429,404,169,58,605,788,1802,271,782,398,565,2245,257,720,431,386,194,128,611
"9","Alcorn",5824,706,1671,190,594,360,548,1962,342,751,336,408,183,95,558,704,1657,160,530,434,659,2002,340,730,392,371,200,75,497
"10","American",6026,692,1542,168,529,293,474,1845,204,664,339,396,209,73,549,716,1528,172,468,445,632,2049,258,738,384,396,198,84,493
"11","Appalachian St.",5200,645,1571,219,654,400,591,1909,300,684,346,379,135,77,586,720,1533,177,456,457,671,2074,260,732,350,327,168,97,550
"12","Arizona",7200,954,1997,240,614,616,807,2764,371,954,497,404,194,114,613,868,2067,234,750,410,599,2380,335,741,462,419,170,105,710
"13","Arizona St.",6625,888,2047,328,851,489,653,2593,304,773,430,344,194,106,558,934,2041,304,835,435,611,2695,367,944,588,439,171,130,604
"14","Ark.-Pine Bluff",6049,641,1607,196,569,342,527,1820,314,618,301,507,237,81,674,690,1507,193,592,553,839,2196,338,736,410,488,273,91,483
"15","Arkansas",7200,997,2166,233,638,628,825,2855,401,896,501,428,278,172,740,901,2158,263,792,594,843,2659,466,854,453,477,187,119,672
"16","Arkansas St.",6000,790,1725,211,559,455,716,2246,335,782,381,397,159,80,595,740,1698,189,591,485,710,2154,297,745,401,400,171,124,634
"17","Army West Point",6275,809,1839,276,786,339,514,2233,297,855,469,464,167,57,569,821,1847,217,642,398,577,2287,271,830,425,391,227,119,527
"18","Auburn",6450,861,1969,268,747,562,836,2456,369,802,421,434,236,162,672,861,1972,273,765,514,765,2546,400,848,436,454,197,94,725
"19","Austin Peay",5675,732,1596,209,594,469,654,2142,230,624,289,352,144,70,515,876,1775,249,673,384,524,2385,348,719,449,358,162,79,578
"20","BYU",6199,868,1877,217,623,613,833,2566,331,992,508,445,209,148,612,821,2015,241,727,408,637,2179,330,795,427,392,227,90,689
"21","Ball St.",6700,894,1948,303,805,494,685,2585,319,916,499,486,193,113,647,866,2039,256,673,527,732,2515,363,830,404,420,244,109,647
"22","Baylor",6801,882,1890,219,620,460,640,2443,432,844,522,427,177,164,567,773,1907,213,662,416,574,2175,352,654,449,379,182,122,626
"23","Belmont",5824,769,1644,277,821,373,484,2206,239,768,464,371,126,74,508,730,1688,172,541,401,538,2033,256,690,331,322,167,86,506
"24","Bethune-Cookman",5875,774,1880,213,660,351,531,2112,371,685,410,379,212,84,623,834,1773,215,640,476,709,2359,383,828,499,420,162,118,498
"25","Binghamton",5826,668,1586,213,619,339,489,1888,234,708,337,362,133,70,499,745,1636,217,607,361,527,2068,277,760,406,333,172,92,488
"26","Boise St.",6200,784,1750,225,704,506,665,2319,294,796,373,391,153,76,647,758,1755,180,527,536,692,2232,286,767,374,364,188,146,626
"27","Boston College",6201,818,1826,250,670,360,537,2246,286,801,462,453,170,87,582,840,1786,224,630,538,711,2442,255,823,489,381,240,116,476
"28","Boston U.",5850,758,1649,237,674,404,575,2175,301,756,409,433,229,77,571,726,1690,258,706,423,614,2133,302,763,414,418,214,89,516
"29","Bowling Green",6025,804,1895,211,619,450,679,2269,346,761,374,393,212,82,603,854,1822,228,647,457,624,2393,299,869,407,431,195,114,639
"30","Bradley",6425,705,1669,208,589,475,701,2093,290,837,361,457,190,116,623,755,1800,245,706,486,734,2278,348,804,441,406,249,93,631
"31","Brown",5599,677,1551,219,616,453,600,2096,260,604,366,395,202,50,534,788,1551,214,572,431,606,2221,255,699,426,427,194,113,618
"32","Bryant",6100,808,1772,230,682,439,609,2285,331,776,443,419,208,68,626,837,1849,230,647,479,647,2417,342,804,417,392,193,116,580
"33","Bucknell",7000,942,1961,286,754,497,730,2669,302,901,510,466,252,116,655,860,2016,216,631,440,667,2376,349,826,424,486,246,105,673
"34","Buffalo",6025,811,1823,227,687,467,680,2316,371,836,417,437,172,113,658,756,1798,222,632,524,771,2258,346,747,383,387,194,103,593
"35","Butler",6400,906,1898,261,714,522,704,2595,287,802,453,346,206,96,641,818,1837,231,693,474,680,2341,297,770,366,451,171,87,655
"36","CSU Bakersfield",6226,787,1839,202,592,446,699,2222,383,835,447,468,251,118,726,641,1719,217,685,558,811,2057,367,790,349,486,193,113,601
"37","CSUN",5600,704,1621,128,380,540,729,2150,269,683,365,370,196,77,596,746,1690,188,490,514,662,2268,320,703,373,369,167,104,595
"38","Cal Poly",5850,676,1682,238,674,348,495,1938,274,648,289,314,149,102,556,744,1574,170,426,468,648,2126,282,799,382,345,139,91,513
"39","Cal St. Fullerton",5925,756,1723,180,584,483,688,2175,323,758,344,427,209,105,605,740,1690,200,584,516,668,2196,288,742,366,426,183,92,600
"40","California",6650,807,1911,226,664,476,720,2316,394,929,409,428,166,155,600,757,1894,202,616,438,647,2154,294,802,390,379,162,123,637
"41","Campbell",6849,808,1819,255,717,499,666,2370,267,828,370,429,212,131,615,839,1888,236,680,527,731,2441,337,839,430,397,229,87,584
"42","Canisius",6850,943,2066,277,832,470,639,2665,364,756,601,446,230,64,660,962,1976,229,668,489,667,2642,359,841,468,508,191,113,642
"43","Central Ark.",6473,836,1829,230,614,493,687,2395,337,813,436,446,178,84,606,945,2030,295,754,452,650,2692,377,834,568,366,206,96,582
"44","Central Conn. St.",5850,675,1602,146,416,331,534,1827,332,632,340,413,166,68,540,749,1602,233,613,350,512,2112,306,721,414,392,183,103,540
"45","Central Mich.",6076,839,1989,359,994,545,689,2602,322,792,338,343,155,80,589,976,2076,267,760,477,676,2696,409,884,446,357,174,104,603
"46","Charleston So.",5675,711,1662,197,591,394,582,2013,287,661,288,317,141,77,569,740,1567,221,592,482,652,2183,250,760,398,329,138,99,502
"47","Charlotte",5825,764,1735,226,603,440,590,2194,214,724,345,347,183,85,562,839,1788,192,537,449,636,2319,325,838,390,393,177,99,542
"48","Chattanooga",5825,724,1589,200,605,457,641,2105,303,621,340,388,214,132,540,706,1556,165,468,436,579,2013,303,667,350,421,186,89,566
"49","Chicago St.",5900,642,1733,187,615,341,481,1812,305,697,294,401,181,59,560,794,1697,279,735,423,602,2290,315,864,529,375,180,105,502
"50","Cincinnati",7250,925,2117,264,765,434,642,2555,437,890,559,361,260,178,568,767,1975,251,730,423,575,2208,371,793,406,452,131,112,575
"51","Clemson",6225,813,1729,225,631,464,633,2315,336,709,392,338,227,124,473,826,1819,242,638,332,433,2226,342,746,407,428,162,102,592
"52","Cleveland St.",5849,717,1776,211,687,359,525,2004,327,658,317,393,214,90,622,746,1627,204,578,464,680,2160,319,805,450,468,154,101,540
"53","Coastal Caro.",7000,956,2278,297,906,436,666,2645,440,1027,430,475,203,104,683,937,2219,334,1007,507,722,2619,380,1007,493,435,209,125,658
"54","Col. of Charleston",6825,785,1808,215,648,572,772,2357,289,866,345,356,188,113,590,795,1889,225,724,400,603,2215,351,849,386,418,131,111,663
"55","Colgate",6325,673,1636,253,700,371,547,2054,253,751,396,461,159,79,585,758,1676,243,647,446,647,2205,255,765,409,363,234,98,544
"56","Colorado",6650,866,1942,244,696,511,729,2487,396,839,458,397,164,142,588,829,1913,248,725,459,649,2384,331,805,410,393,185,126,692
"57","Colorado St.",6801,822,1959,247,725,543,748,2434,387,912,367,371,205,116,588,809,1996,252,802,433,635,2303,368,850,388,389,189,106,640
