"","teamname","MINS","FG","FGA","FG3","FG3A","FT","FTA","PTS","OREB","DREB","AST","TO","STL","BLK","FLS","opp_FG","opp_FGA","opp_3FG","opp_3FGA","opp_FT","opp_FTA","opp_PTS","opp_OREB","opp_DREB","opp_AST","opp_TO","opp_STL","opp_BLK","opp_FLS"
"17","Army West Point",5875,743,1699,213,661,372,544,2071,306,685,410,387,178,103,600,750,1638,169,474,446,667,2012,315,724,379,383,188,94,545
"18","Auburn",6875,729,1815,247,705,591,886,2296,341,720,356,439,228,85,695,818,1832,199,598,539,767,2352,372,893,437,495,227,150,738
"19","Austin Peay",5601,615,1542,140,466,423,641,1793,333,617,331,397,177,107,492,718,1501,210,544,417,577,2063,255,713,388,388,222,90,519
"20","BYU",6050,844,1757,259,669,569,788,2550,368,815,512,363,213,86,637,800,1808,183,588,490,702,2286,315,732,452,388,199,113,649
"21","Ball St.",5676,631,1519,223,664,375,538,1860,292,644,357,408,150,68,531,696,1496,176,493,438,630,2008,258,682,358,344,216,99,517
"22","Baylor",6200,785,1808,217,605,467,697,2268,476,797,447,417,259,124,548,716,1770,188,632,367,568,1987,367,655,498,401,216,130,592
"23","Belmont",6402,826,1742,297,790,388,561,2354,295,766,483,438,201,63,532,827,1837,231,673,369,518,2254,322,727,423,402,209,113,542
"24","Bethune-Cookman",6001,573,1463,146,501,419,590,1711,340,623,235,412,158,77,586,615,1445,163,493,470,670,1863,323,648,328,379,185,99,535
"25","Binghamton",6025,584,1481,153,500,390,590,1711,266,653,252,413,165,73,540,711,1577,227,606,361,533,2010,315,748,401,388,191,69,572
"26","Boise St.",6125,722,1600,262,668,379,527,2085,265,716,350,310,180,70,513,652,1547,172,552,338,441,1814,243,665,323,374,140,91,470
"27","Boston College",6050,718,1623,200,623,390,555,2026,258,690,404,377,179,81,589,721,1618,171,507,481,667,2094,303,727,387,382,165,103,544
"28","Boston U.",5850,646,1439,225,610,451,606,1968,249,661,354,361,156,52,508,714,1487,219,630,376,527,2041,263,635,445,304,154,75,533
"29","Bowling Green",6425,752,1744,216,639,406,565,2128,344,780,391,376,212,111,534,701,1709,210,645,382,551,1994,326,743,339,398,203,106,563
"30","Bradley",6225,606,1641,175,582,415,621,1802,361,691,291,404,211,88,632,650,1501,196,566,479,694,1988,281,767,393,433,195,104,515
"31","Brown",5825,629,1504,156,502,471,676,1885,293,728,327,423,129,125,529,720,1665,177,509,420,607,2037,322,691,365,322,211,119,597
"32","Bryant",6024,709,1683,226,653,414,552,2058,306,723,381,366,157,77,560,731,1711,192,609,446,615,2100,341,731,384,333,186,111,519
"33","Bucknell",6700,767,1763,220,578,463,669,2251,326,774,420,367,133,87,587,790,1778,193,527,508,683,2281,270,774,369,310,171,142,636
"34","Buffalo",6600,837,1922,199,583,589,775,2462,420,840,433,378,248,132,613,795,1881,235,713,428,645,2253,367,796,392,448,204,109,698
"35","Butler",6901,773,1882,192,540,494,767,2346,408,831,358,376,200,103,592,740,1785,187,610,406,595,2073,281,768,374,431,183,151,654
"36","CSU Bakersfield",5824,629,1542,160,500,421,581,1839,331,694,368,373,163,57,590,590,1422,181,533,447,693,1857,255,657,325,352,157,115,547
"37","CSUN",6000,687,1630,102,309,513,670,1989,292,741,416,373,167,98,566,762,1734,245,669,437,622,2206,325,735,427,341,193,90,541
"38","Cal Poly",5249,555,1423,151,441,298,446,1559,307,579,256,232,138,79,427,565,1302,141,408,289,411,1560,224,636,314,268,103,95,416
"39","Cal St. Fullerton",5876,644,1579,156,491,398,579,1842,295,705,285,371,145,61,543,708,1570,195,504,449,605,2060,262,741,390,320,174,111,533
"40","California",6650,821,1868,185,515,368,567,2195,300,871,411,365,137,127,627,783,1839,156,465,499,715,2221,293,849,356,316,166,122,564
"41","Campbell",5826,616,1472,234,650,329,528,1795,265,594,355,366,192,82,529,679,1449,163,470,443,615,1964,264,697,339,346,185,76,470
"42","Canisius",6650,762,1864,215,677,429,596,2168,401,756,465,393,223,108,608,698,1704,203,630,478,693,2077,360,778,420,460,200,114,558
"43","Central Ark.",5802,646,1524,196,556,406,599,1894,273,630,361,495,182,114,604,848,1711,185,492,503,728,2384,365,701,449,379,272,106,534
"44","Central Conn. St.",6225,674,1675,146,454,340,479,1834,332,714,340,425,153,109,429,822,1814,221,641,308,434,2173,349,744,437,315,203,114,484
"45","Central Mich.",5826,732,1605,265,772,427,587,2176,280,650,383,286,195,67,486,705,1551,193,561,380,562,1983,291,692,320,374,135,88,556
"46","Charleston So.",5493,650,1584,238,702,392,554,1949,342,644,331,307,178,55,465,658,1471,221,599,355,491,1892,247,680,343,345,151,103,484
"47","Charlotte",6600,858,1854,201,534,445,685,2256,381,785,437,435,207,80,558,818,1779,233,683,432,616,2317,357,748,430,408,197,96,590
"48","Chattanooga",6125,714,1609,198,574,485,705,2111,332,686,348,389,175,178,591,700,1622,157,448,447,656,2038,335,688,310,378,174,127,595
"49","Chicago St.",5825,569,1553,176,550,288,421,1602,356,577,256,433,223,83,643,625,1375,202,530,474,743,1958,290,695,374,362,212,102,457
"50","Cincinnati",6700,733,1653,164,495,407,608,2037,372,775,382,423,213,184,486,678,1756,192,596,290,447,1838,369,630,371,396,185,96,567
"51","Clemson",5850,644,1565,160,540,367,541,1815,341,705,313,345,158,131,458,652,1601,171,533,329,479,1804,311,658,343,321,187,79,486
"52","Cleveland St.",6475,764,1702,232,612,363,530,2125,325,715,430,383,236,108,618,666,1578,206,569,464,689,2002,315,694,392,422,200,90,507
"53","Coastal Caro.",5998,730,1660,201,560,455,645,2116,359,755,335,340,191,97,502,669,1630,218,645,405,570,1961,295,674,354,329,175,81,543
"54","Col. of Charleston",6650,686,1708,181,575,365,553,1934,314,750,317,397,182,96,679,702,1657,191,533,536,786,2131,356,824,356,377,180,120,582
"55","Colgate",6250,771,1596,243,615,304,437,2089,216,732,422,370,158,85,548,741,1661,202,535,389,583,2073,292,699,368,324,183,90,478
"56","Colorado",6625,812,1861,179,535,542,760,2345,400,869,400,450,194,133,582,807,1904,249,705,454,645,2317,338,762,423,384,236,109,671
"57","Colorado St.",6625,805,1839,234,673,522,770,2366,396,848,478,347,183,114,556,753,1779,195,594,387,592,2121,289,764,387,389,176,84,671
"58","Columbia",5401,600,1384,228,600,276,390,1704,272,604,314,292,125,96,485,586,1364,136,411,366,521,1674,248,573,282,262,148,94,408
"59","Coppin St.",6000,724,1839,265,793,388,561,2116,303,643,376,406,199,99,616,878,1718,214,557,538,766,2402,395,896,476,426,186,99,533
"60","Cornell",5848,579,1485,167,551,436,583,1761,228,706,285,355,171,126,559,595,1509,188,565,431,626,1809,303,758,328,339,156,83,509
"61","Creighton",6225,724,1722,249,689,457,632,2154,343,764,435,377,142,77,570,755,1725,233,612,393,571,2136,298,736,413,349,187,110,599
"62","Dartmouth",5850,657,1510,173,500,348,539,1835,298,649,357,373,223,100,557,610,1416,192,542,417,606,1829,258,666,340,391,172,85,524
"63","Davidson",6225,865,1859,308,776,369,530,2317,321,780,492,295,164,90,576,793,1786,175,584,394,618,2155,341,763,394,356,157,124,552
"64","Dayton",7225,810,1755,239,670,580,846,2439,255,866,490,415,250,91,573,795,1901,206,635,394,582,2190,344,840,432,489,190,124,717
"65","DePaul",6425,757,1739,248,705,426,635,2220,292,677,395,384,212,122,650,789,1715,166,532,610,835,2354,371,773,381,406,233,101,564
"66","Delaware",6076,675,1646,199,576,430,627,1979,314,747,376,367,128,108,522,755,1674,227,585,408,582,2161,344,775,427,311,197,112,566
"67","Delaware St.",6825,817,1902,262,713,443,626,2339,401,883,391,461,165,129,589,822,2024,225,704,501,728,2350,408,865,415,385,239,131,601
"68","Denver",5873,633,1314,201,536,319,416,1803,140,556,438,324,174,54,591,598,1280,144,386,472,662,1812,233,595,290,348,151,64,464
"69","Detroit Mercy",6274,770,1767,213,563,395,572,2148,318,710,411,412,232,101,654,729,1612,219,650,512,778,2222,301,764,427,453,190,107,563
"70","Drake",6050,607,1349,167,475,353,459,1760,186,592,351,396,133,59,468,735,1533,212,551,326,467,2008,279,613,379,300,198,80,480
"71","Drexel",5825,595,1516,173,525,372,501,1735,272,643,311,305,148,102,507,675,1509,162,461,364,539,1876,291,718,352,334,158,102,479
"72","Duke",7450,1045,2073,255,661,578,834,2826,421,948,532,406,263,139,572,909,2082,184,599,360,517,2362,401,755,422,462,210,108,708
"73","Duquesne",6025,768,1724,231,638,355,561,2122,336,740,442,370,151,102,543,784,1783,255,679,409,603,2252,369,725,472,323,165,93,520
"74","ETSU",5650,647,1557,256,697,418,621,2000,292,647,339,359,216,71,566,663,1526,241,673,455,602,2022,318,695,414,412,204,121,522
"75","East Carolina",6225,683,1645,224,630,335,492,1925,296,647,405,348,184,58,535,695,1635,186,589,378,558,2044,343,746,422,371,177,135,517
"76","Eastern Ill.",5800,693,1580,226,604,345,529,1957,230,692,401,376,173,128,511,730,1712,210,532,383,538,2053,362,753,376,374,204,91,531
"77","Eastern Ky.",5800,733,1613,272,774,405,519,2143,198,600,445,361,285,92,525,703,1541,245,625,364,539,2015,319,724,473,488,193,88,523
"78","Eastern Mich.",6273,700,1712,205,652,509,711,2114,335,750,323,371,239,127,611,670,1682,215,649,494,671,2049,381,776,429,425,173,102,575
"79","Eastern Wash.",6450,872,1871,318,764,472,658,2534,322,756,399,350,198,132,584,832,1830,250,646,472,659,2386,335,776,477,394,184,123,615
"80","Elon",6274,719,1741,215,624,448,655,2101,320,708,342,407,195,42,654,754,1666,200,572,493,734,2201,331,827,376,454,196,113,615
"81","Evansville",7074,849,1774,150,425,588,786,2436,268,852,540,449,194,124,608,828,1909,232,653,428,601,2316,332,769,430,463,228,128,657
"82","FGCU",6026,739,1719,178,525,379,569,2035,371,760,414,348,170,105,519,682,1700,176,595,400,589,1940,359,709,309,339,175,78,525
"83","FIU",6275,698,1597,142,454,384,597,1922,295,756,334,435,202,124,571,712,1717,223,628,416,629,2063,354,723,413,393,225,118,523
"84","Fairfield",6325,614,1578,198,614,419,585,1845,286,693,324,396,154,109,592,713,1629,148,431,430,651,2041,356,762,381,360,189,76,550
"85","Fairleigh Dickinson",5677,643,1590,193,601,375,544,1854,286,541,301,355,225,87,600,683,1473,175,504,528,763,2069,368,753,375,418,179,106,498
"86","Fla. Atlantic",5425,608,1463,195,558,276,407,1687,240,589,271,341,118,88,495,683,1461,92,308,384,549,1842,271,682,278,292,174,107,431
"87","Florida",6652,766,1763,205,674,351,553,2101,348,747,431,409,211,118,558,673,1648,170,519,464,623,1982,307,751,348,452,182,130,521
"88","Florida A&M",5800,560,1500,119,421,368,567,1607,281,633,241,415,143,62,486,766,1633,216,615,367,570,2115,348,766,454,352,206,106,487
"89","Florida St.",6200,744,1618,143,455,471,753,2136,314,761,371,466,172,138,596,739,1764,187,576,473,674,2138,348,683,386,379,202,81,614
"90","Fordham",6026,677,1639,176,590,391,542,1921,351,721,368,415,203,117,567,707,1610,201,589,452,671,2067,301,699,379,374,204,94,502
"91","Fort Wayne",5600,662,1427,198,545,404,586,1926,217,680,393,342,146,79,463,709,1568,190,495,310,434,1918,247,648,337,293,153,86,532
"92","Fresno St.",5802,657,1498,164,524,422,609,1900,258,666,295,334,224,106,619,675,1549,180,517,476,686,2006,323,737,364,393,163,96,527
"93","Furman",6249,648,1524,199,605,449,623,1944,293,690,305,414,161,89,558,772,1681,189,592,407,614,2164,329,703,432,324,218,121,539
"94","Ga. Southern",5650,633,1551,202,644,371,561,1839,332,666,296,332,192,86,482,606,1499,174,557,332,490,1718,316,686,297,399,148,81,490
"95","Gardner-Webb",6300,778,1776,257,743,455,670,2268,327,720,476,372,195,62,507,879,1841,207,547,369,536,2334,336,771,434,365,201,117,541
"96","George Mason",6074,666,1600,125,396,440,659,1897,380,697,294,430,176,107,618,687,1576,202,573,502,704,2078,304,679,377,365,202,114,582
"97","George Washington",6825,827,1887,192,545,508,754,2354,422,856,408,420,197,136,560,786,1945,213,667,384,563,2169,382,765,391,411,227,147,675
"98","Georgetown",6700,799,1753,201,569,541,769,2340,367,785,427,415,251,156,668,698,1716,220,608,537,756,2153,352,704,366,438,198,121,660
"99","Georgia",6480,747,1730,184,538,572,778,2250,360,900,411,420,183,151,608,733,1883,207,665,451,645,2124,358,759,349,364,202,125,652
"100","Georgia St.",6625,862,1814,161,501,499,684,2384,313,764,452,356,306,140,625,689,1771,246,743,505,705,2129,408,728,438,484,155,82,590
"101","Georgia Tech",5827,705,1727,126,474,346,539,1882,422,716,348,383,172,103,500,693,1582,162,518,373,536,1921,251,680,374,355,197,117,519
"102","Gonzaga",7025,991,1919,243,611,517,751,2742,366,961,568,373,206,113,595,784,1996,199,602,414,620,2181,383,695,346,395,199,86,698
"103","Grambling",5400,472,1322,97,342,339,523,1380,265,589,203,434,143,46,519,721,1546,172,537,378,599,1992,333,646,379,301,217,96,434
"104","Grand Canyon",6002,694,1569,192,569,424,629,2037,260,674,359,330,158,92,589,743,1669,170,506,416,604,2072,349,710,349,315,149,81,583
"105","Green Bay",6225,768,1685,126,445,424,663,2086,349,750,432,373,232,143,577,654,1600,163,484,426,636,1897,316,703,336,419,188,103,540
"106","Hampton",7025,796,1959,194,638,560,859,2346,416,876,372,494,235,130,720,795,1924,197,581,600,876,2387,392,893,365,491,190,132,717
"107","Hartford",5875,613,1537,227,664,322,458,1775,252,644,341,352,180,45,541,651,1450,160,506,412,611,1874,270,745,339,388,167,89,488
"108","Harvard",5448,616,1447,131,382,406,564,1769,293,654,348,295,189,124,445,585,1421,153,450,314,467,1637,259,614,303,351,146,85,501
"109","Hawaii",6651,834,1911,216,657,454,702,2368,381,755,435,431,291,129,671,748,1798,215,618,542,755,2253,395,805,418,510,196,97,634
"110","High Point",6250,759,1570,195,505,415,562,2128,299,677,419,345,177,81,469,731,1650,211,598,372,520,2064,311,672,368,390,208,81,536
"111","Hofstra",6400,881,1945,294,772,511,731,2604,385,809,516,366,233,89,629,802,1822,210,582,498,700,2312,317,794,438,455,164,99,612
"112","Holy Cross",5900,653,1491,179,531,393,549,1880,295,594,315,316,200,124,565,678,1434,170,453,390,552,1950,250,699,396,379,151,98,497
"113","Houston",6500,705,1795,259,771,391,575,2060,403,726,376,399,184,121,565,758,1743,195,579,386,579,2097,367,795,398,412,203,100,552
"114","Houston Baptist",4827,582,1339,106,336,384,527,1654,312,547,270,350,132,74,497,625,1335,145,425,424,583,1835,252,518,327,281,168,103,472
"115","Howard",5850,598,1432,127,439,434,621,1757,310,659,233,468,211,117,537,603,1522,185,589,425,610,1816,349,615,369,402,173,88,532
"116","IUPUI",6375,692,1623,126,426,373,532,1883,318,691,348,482,218,65,603,714,1575,189,492,427,613,2080,273,703,366,426,258,129,538
"117","Idaho",5700,741,1517,220,536,436,616,2138,286,707,371,341,127,51,598,729,1591,249,642,458,660,2165,261,647,375,299,142,85,551
"118","Idaho St.",5625,646,1483,133,381,357,548,1782,284,619,303,335,187,72,495,664,1506,238,642,386,524,1952,295,666,410,335,132,110,528
"119","Ill.-Chicago",6424,666,1744,188,591,515,697,2035,363,698,376,361,185,87,579,815,1680,182,489,448,655,2275,279,817,479,374,180,155,634
"120","Illinois",6650,786,1903,238,670,471,593,2281,351,783,389,328,208,105,577,751,1784,211,642,387,542,2100,304,811,385,425,160,109,549
"121","Illinois St.",6875,807,1882,192,597,467,655,2286,426,794,385,412,241,138,622,720,1735,191,582,482,699,2113,328,751,418,404,200,92,605
"122","Incarnate Word",4875,647,1403,164,469,432,635,1925,217,587,305,279,190,102,478,672,1457,152,428,421,577,1813,270,628,363,318,137,84,525
"123","Indiana",6825,923,1989,301,786,468,651,2517,407,817,473,392,170,108,606,900,1986,196,604,442,651,2438,374,748,428,364,209,146,623
"124","Indiana St.",6123,652,1543,220,616,422,607,1982,262,697,380,397,171,97,549,699,1629,187,485,448,612,2033,323,729,348,418,226,95,578
"125","Iona",7025,909,2051,320,830,538,768,2656,348,912,538,427,226,135,605,937,2049,250,669,440,630,2564,454,866,507,415,208,131,654
"126","Iowa",6850,821,1905,192,576,538,723,2372,422,852,482,377,218,158,536,754,1903,227,696,384,553,2119,371,765,411,391,200,121,607
"127","Iowa St.",6800,940,1973,249,726,502,721,2645,323,898,546,375,218,133,527,866,2081,234,715,366,499,2346,377,819,482,440,193,114,643
"128","Jackson St.",6250,683,1748,148,534,369,574,1883,449,703,320,447,199,77,636,607,1450,184,543,541,785,1939,274,722,330,465,215,121,534
"129","Jacksonville",5449,614,1483,176,484,386,588,1790,273,589,282,340,168,63,504,715,1496,199,571,409,578,2051,288,697,408,349,168,104,494
"130","Jacksonville St.",5200,593,1571,165,559,419,590,1770,308,633,337,349,181,115,560,714,1482,152,474,409,610,2006,333,767,397,362,170,118,540
"131","James Madison",6625,748,1660,228,613,493,700,2217,299,769,419,431,212,78,531,796,1832,248,695,414,584,2254,361,732,452,381,218,113,613
"132","Kansas",7000,869,1976,213,562,576,842,2561,426,938,475,463,237,175,639,825,2084,210,666,473,704,2333,434,793,402,421,236,166,695
"133","Kansas St.",6200,690,1593,141,421,461,684,2016,338,677,417,424,195,74,639,716,1613,172,514,438,661,2042,311,658,398,409,239,122,614
"134","Kennesaw St.",6000,650,1653,196,621,325,449,1855,322,697,304,404,156,104,532,791,1755,199,595,441,628,2222,378,764,400,324,187,104,475
"135","Kent St.",6900,780,1815,247,674,444,674,2251,386,791,360,380,170,129,631,740,1806,172,536,464,668,2150,386,765,354,387,188,99,600
"136","Kentucky",7875,962,2150,203,582,685,943,2790,491,991,553,408,253,255,665,750,2116,175,646,443,672,2118,463,752,301,533,182,94,778
"137","LIU Brooklyn",5900,677,1726,195,601,473,687,2022,368,753,346,384,171,76,570,760,1672,178,549,399,571,2135,339,806,392,381,182,108,599
"138","LSU",6550,868,1902,184,543,438,636,2358,388,865,502,468,235,185,506,796,1986,180,575,395,597,2167,427,753,375,439,262,121,569
"139","La Salle",6451,738,1757,166,517,444,640,2086,332,794,398,429,211,120,582,732,1781,166,525,425,613,2055,353,791,407,434,221,99,566
"140","La.-Monroe",6900,789,1919,174,578,359,501,2111,389,851,424,388,160,128,517,737,1878,204,676,403,557,2081,355,804,378,370,186,114,497
"141","Lafayette",6425,841,1731,234,612,403,526,2335,264,700,492,354,171,81,501,862,1774,262,689,357,511,2343,368,690,448,348,191,100,529
"142","Lamar University",5225,614,1388,151,474,396,582,1775,308,572,311,412,168,99,548,636,1379,183,487,436,635,1891,282,585,381,359,203,85,480
"143","Lehigh",5599,689,1563,155,445,409,566,1839,276,763,374,362,156,91,512,669,1675,229,675,359,523,1926,334,670,414,337,199,81,494
"144","Liberty",5624,595,1431,126,406,379,575,1725,285,668,283,459,148,72,519,661,1544,229,644,440,646,1993,321,646,343,339,228,82,537
"145","Lipscomb",5425,654,1593,224,688,445,632,1977,305,680,378,363,149,50,511,710,1533,239,624,477,721,2030,283,741,413,347,180,118,551
"146","Little Rock",5675,712,1714,208,612,437,616,2069,314,707,363,314,171,69,573,726,1631,213,584,451,666,2116,321,789,379,402,140,83,558
"147","Long Beach St.",6249,710,1711,197,632,403,589,2033,346,707,342,417,202,72,597,729,1696,210,637,443,625,2111,364,752,399,432,207,119,562
"148","Longwood",6500,742,1778,259,702,383,534,2126,301,701,358,429,243,98,635,794,1739,243,648,533,782,2364,381,819,452,455,244,119,510
"149","Louisiana",6651,858,1922,209,603,549,762,2474,406,873,464,484,207,118,587,826,1914,184,570,492,715,2328,334,767,361,412,228,125,635
"150","Louisiana Tech",6856,898,2004,224,723,458,667,2493,354,793,451,365,264,197,565,816,1941,190,560,415,550,2237,430,867,414,498,205,115,605
"151","Louisville",6849,831,1933,188,615,493,741,2343,436,844,394,398,260,182,589,718,1840,174,587,405,610,2015,376,797,403,491,201,93,589
"152","Loyola Chicago",7025,787,1678,216,550,385,558,2175,282,742,457,442,218,75,548,769,1777,210,661,361,536,2109,350,701,415,425,220,117,573
"153","Loyola Maryland",5870,607,1591,148,456,402,599,1764,346,701,290,388,166,92,594,676,1527,166,504,467,644,1985,279,731,358,337,181,147,533
"154","Loyola Marymount",5650,600,1452,142,403,387,549,1729,320,596,333,370,167,95,494,694,1502,222,569,378,542,1988,300,628,467,323,207,90,512
"155","Maine",6050,647,1599,197,609,321,442,1812,238,643,393,432,164,32,554,763,1566,225,598,411,602,2244,300,783,429,382,233,99,472
"156","Manhattan",6700,756,1748,215,640,573,829,2300,345,720,460,481,249,92,723,736,1683,148,457,582,880,2234,357,771,440,545,227,127,725
"157","Marist",6399,649,1629,226,717,396,575,1957,230,706,336,436,223,90,571,773,1762,201,608,452,647,2201,388,857,441,441,230,91,604
"158","Marquette",6450,742,1699,207,602,392,608,2083,306,694,479,380,241,111,505,762,1787,217,650,387,542,2145,398,749,478,438,200,124,577
"159","Marshall",6025,676,1704,224,720,384,595,1960,323,769,368,458,195,87,565,768,1782,196,618,415,653,2147,370,821,384,395,230,86,555
"160","Maryland",6800,781,1777,258,687,597,790,2417,314,909,376,408,169,151,584,800,2026,242,759,376,570,2218,399,771,385,391,200,105,706
"161","Massachusetts",6450,772,1785,144,488,493,704,2220,384,793,429,451,216,135,591,810,1860,191,546,444,655,2255,360,748,456,386,232,139,625
"162","McNeese",5450,664,1528,171,541,322,499,1821,353,606,330,286,188,103,465,701,1522,179,540,365,531,1946,318,694,415,331,156,103,425
"163","Memphis",6450,764,1827,166,506,385,578,2155,409,786,460,427,224,193,587,694,1749,164,540,467,677,2019,363,697,376,406,238,113,517
"164","Mercer",6477,756,1734,197,577,475,696,2184,365,755,436,365,213,81,532,745,1778,251,712,374,568,2115,368,732,423,398,183,119,607
"165","Miami (FL)",7025,859,2006,283,793,526,708,2527,372,914,473,376,206,121,583,862,2051,227,702,393,598,2344,381,873,434,408,191,125,640
"166","Miami (OH)",6300,712,1626,182,529,412,585,2054,260,688,365,402,236,61,588,740,1606,227,651,473,682,2180,289,744,391,426,189,92,560
"167","Michigan",6349,704,1666,239,641,332,443,1979,259,672,366,300,163,53,448,737,1644,198,583,306,439,1978,305,757,392,373,140,90,481
"168","Michigan St.",7776,1014,2181,294,763,451,714,2773,436,1022,646,441,203,176,738,833,2104,224,712,592,820,2482,378,869,409,417,217,110,701
"169","Middle Tenn.",6901,749,1812,238,655,472,667,2208,371,798,380,448,207,105,643,749,1701,198,554,491,718,2187,282,802,412,448,208,138,608
"170","Milwaukee",5600,622,1463,191,576,389,529,1824,245,653,366,344,150,79,488,718,1568,169,438,359,496,1964,273,665,339,302,199,96,506
"171","Minnesota",6450,848,1852,232,623,412,610,2340,334,707,491,389,298,107,581,762,1729,215,633,419,596,2176,354,780,475,481,204,145,587
"172","Mississippi St.",6199,650,1507,133,427,485,700,1918,310,746,273,437,194,86,590,695,1661,206,620,390,607,1986,337,650,368,376,214,114,592
"173","Mississippi Val.",6201,738,1911,157,519,412,630,2045,384,668,338,481,241,37,589,928,1917,215,618,474,704,2340,439,889,481,452,242,135,561
"174","Missouri",6250,659,1644,187,575,356,534,1861,315,694,328,400,169,87,604,707,1635,197,573,469,675,2113,346,757,369,340,182,107,548
"175","Missouri St.",5625,604,1495,150,477,350,473,1708,281,636,321,349,142,90,515,655,1512,176,512,400,556,1899,273,665,364,294,176,85,474
"176","Monmouth",6676,730,1702,171,506,503,697,2134,320,760,372,402,231,127,622,703,1758,255,746,449,654,2110,384,747,408,457,206,128,617
"177","Montana",6175,768,1665,252,689,398,555,2186,272,703,432,366,195,73,602,703,1586,220,609,497,692,2013,284,711,368,404,179,90,558
"178","Montana St.",5800,636,1604,216,657,302,461,1838,302,658,331,395,123,80,601,721,1529,178,452,491,685,1998,258,739,390,327,202,114,518
"179","Morehead St.",6000,779,1707,205,603,447,620,2212,382,729,446,429,247,101,737,678,1555,170,504,601,858,2127,286,718,378,428,182,155,572
"180","Morgan St.",6025,654,1823,159,557,379,607,1846,459,616,305,325,168,87,574,734,1546,167,429,486,690,2121,314,841,356,428,141,114,544
"181","Mt. St. Mary's",5874,662,1645,228,691,341,500,1893,325,654,342,367,202,103,549,702,1578,162,465,379,561,1945,314,736,342,411,190,82,504
"182","Murray St.",6200,894,1876,248,648,503,773,2573,399,816,507,380,226,107,609,768,1797,218,647,491,687,2245,392,709,392,416,182,97,636
"183","N.C. A&T",6025,601,1514,150,528,348,565,1735,339,639,279,443,149,99,556,677,1554,210,576,433,634,1997,335,659,389,355,190,75,526
"184","N.C. Central",6024,689,1475,192,539,376,549,1946,273,704,382,362,173,107,565,551,1485,149,512,415,611,1666,314,609,258,370,145,92,496
"185","NJIT",5799,681,1531,240,646,412,598,2014,272,683,410,398,190,129,582,643,1587,184,557,487,655,1989,350,674,324,368,185,94,553
"186","Navy",6200,697,1589,165,498,326,487,1885,290,650,410,368,178,94,540,699,1528,225,575,394,558,2017,279,699,422,382,182,98,504
"187","Nebraska",6050,664,1613,161,566,416,588,1905,277,745,315,389,192,90,581,657,1627,208,622,435,627,1957,323,762,324,415,182,80,562
"188","Nevada",5825,592,1571,99,383,407,577,1724,424,702,270,405,156,120,503,661,1581,182,534,426,643,1930,328,642,371,290,176,129,518
"189","New Hampshire",6125,681,1592,221,590,385,575,1968,278,802,340,369,148,66,587,637,1561,160,516,458,664,1892,248,736,260,336,168,70,535
